,count,label,name
83,"204,441,395,170,114,63","Dynamic_programming,Implementation,Graph_theory,Data_structures,Breadth_first_search,Depth_first_search",방향
84,"165,53,55,93","Dynamic_programming,Implementation,Graph_theory,Greedy",최댓값
85,"144,105,73","Dynamic_programming,Implementation,String",연속
86,"143,169,187,55,148,118","Dynamic_programming,Implementation,Graph_theory,Data_structures,Graph_traversal,Breadth_first_search",격자
87,"138,202,33","Dynamic_programming,Implementation,Greedy",규칙
88,"135,110,203,150,53,108,48,25","Dynamic_programming,Implementation,Graph_theory,Graph_traversal,Bruteforcing,Breadth_first_search,Depth_first_search,Dijkstras",인접
89,"125,294,137,22","Dynamic_programming,Implementation,Data_structures,Priority_queue",배열
90,118,Dynamic_programming,구간
91,"109,105","Dynamic_programming,Data_structures",종류
92,99,Dynamic_programming,증가
93,88,Dynamic_programming,가격
94,85,Dynamic_programming,작업
95,"76,17,40,6","Dynamic_programming,Tree,Binary_search,Divide_and_conquer","1,000,000"
96,"76,52,150,48","Dynamic_programming,Implementation,Graph_theory,Tree",관계
97,76,Dynamic_programming,서열
98,"71,105","Dynamic_programming,Implementation",과정
99,71,Dynamic_programming,"1,000,000,007"
100,"70,26,81,46","Dynamic_programming,Implementation,Graph_theory,Greedy",최대한
101,"70,49,106,59,68","Dynamic_programming,Implementation,Graph_theory,Data_structures,Breadth_first_search",구역
102,66,Dynamic_programming,점프
103,"57,22","Dynamic_programming,Data_structures",나열
104,57,Dynamic_programming,박스
105,56,Dynamic_programming,무게
106,49,Dynamic_programming,계단
107,"49,108,104,30","Dynamic_programming,Graph_theory,Tree,Dijkstras",가중치
108,"48,28","Dynamic_programming,Implementation",패턴
109,"46,63","Dynamic_programming,Graph_theory",체스
110,"41,34,8,53,12,6","Dynamic_programming,Greedy,Tree,Binary_search,Divide_and_conquer,Priority_queue","1,000,000,000"
111,"40,48,26","Dynamic_programming,Graph_theory,Greedy",최소한
112,"40,34,15","Dynamic_programming,Graph_theory,Greedy",최적
113,40,Dynamic_programming,고구마
114,"39,45,31","Dynamic_programming,Implementation,Graph_theory",아래쪽
115,"38,102","Dynamic_programming,Implementation",반복
116,"37,95,62","Dynamic_programming,Implementation,String",형식
117,"35,22,23","Dynamic_programming,Graph_theory,Greedy",최소화
118,"34,22","Dynamic_programming,Graph_theory",막대
119,33,Dynamic_programming,분할
120,"32,30,159,55,43,95","Dynamic_programming,Implementation,Graph_theory,Graph_traversal,Breadth_first_search,Dijkstras",최단
121,28,Dynamic_programming,색깔
122,"27,44,66","Dynamic_programming,Implementation,Graph_theory",영역
123,26,Dynamic_programming,메모리
124,22,Dynamic_programming,가짓수
125,22,Dynamic_programming,3가지
126,22,Dynamic_programming,기둥
127,21,Dynamic_programming,전봇대
128,"20,12","Dynamic_programming,Greedy",최선
129,"20,107,40","Dynamic_programming,Graph_theory,Dijkstras",양방향
130,19,Dynamic_programming,색상
131,"15,53","Dynamic_programming,Graph_traversal",상하
132,"15,44,67,53,37,10","Dynamic_programming,Implementation,Graph_theory,Graph_traversal,Breadth_first_search,Depth_first_search",상하좌우
133,14,Dynamic_programming,북쪽
134,12,Dynamic_programming,최소비용
135,"12,27","Dynamic_programming,Implementation",바둑판
136,10,Dynamic_programming,"2,000,000,000"
137,"8,6","Dynamic_programming,Binary_search","10,000,000"
138,6,Dynamic_programming,동서방향
139,"6,31","Dynamic_programming,Graph_theory",최단거리
140,5,Dynamic_programming,이동거리
141,"1865,792","Implementation,String",출력
142,1319,Implementation,때
143,1083,Implementation,경우
144,"575,325,145","Implementation,Graph_theory,Breadth_first_search",아래
145,"548,882,209,142,112,431,120","Implementation,Graph_theory,Data_structures,Bruteforcing,Tree,Breadth_first_search,Depth_first_search",이동
146,538,Implementation,사람
147,506,Implementation,그림
148,485,Implementation,테스트
149,"481,294,175","Implementation,Graph_theory,Breadth_first_search",게임
150,456,Implementation,케이스
151,"379,214,103","Implementation,Graph_theory,Breadth_first_search",왼쪽
152,"344,192,155,100,26","Implementation,Graph_theory,Graph_traversal,Breadth_first_search,Divide_and_conquer",오른쪽
153,317,Implementation,상태
154,"277,116","Implementation,String",구분
155,261,Implementation,결과
156,247,Implementation,만약
157,242,Implementation,점수
158,"217,49","Implementation,Graph_traversal",차례
159,"185,87","Implementation,Graph_theory",보드
160,"167,126,93,86","Implementation,Graph_theory,Greedy,Breadth_first_search",횟수
161,"160,43","Implementation,Data_structures",세로
162,"155,107","Implementation,Graph_theory",가로
163,138,Implementation,회전
164,133,Implementation,기준
165,127,Implementation,이후
166,109,Implementation,만족
167,108,Implementation,시계방향
168,"107,33","Implementation,Bruteforcing",12
169,"104,113","Implementation,Graph_theory",높이
170,98,Implementation,만큼
171,"90,70,59","Implementation,Graph_theory,Graph_traversal",로봇
172,90,Implementation,m2
173,"86,58","Implementation,Graph_theory",빈칸
174,"86,83","Implementation,Graph_theory",구슬
175,82,Implementation,가정
176,80,Implementation,예제
177,"79,263,71,99","Implementation,Graph_theory,Breadth_first_search,Dijkstras",도착
178,"79,255,88","Implementation,Graph_theory,Breadth_first_search",집
179,79,Implementation,제외
180,78,Implementation,종료
181,73,Implementation,정의
182,71,Implementation,조각
183,70,Implementation,퍼즐
184,"69,177,41,139","Implementation,Graph_theory,Data_structures,Breadth_first_search",벽
185,"67,269","Implementation,Graph_theory",길
186,"66,55","Implementation,Graph_theory",타일
187,"65,510,63","Implementation,Graph_theory,Depth_first_search",경로
188,64,Implementation,플레이어
189,"63,95,58","Implementation,Graph_theory,Graph_traversal",다리
190,"60,121,49,23,35,27","Implementation,Graph_theory,Greedy,Bruteforcing,Tree,Depth_first_search","10,000"
191,60,Implementation,주사위
192,60,Implementation,최종
193,60,Implementation,스티커
194,59,Implementation,좌우
195,56,Implementation,승리
196,"53,63","Implementation,Data_structures",범위
197,53,Implementation,상황
198,"52,35","Implementation,Data_structures",게임판
199,"51,110,64","Implementation,Graph_theory,Graph_traversal",도달
200,49,Implementation,발견
201,"45,18","Implementation,Graph_theory",경계
202,44,Implementation,가운데
203,42,Implementation,보장
204,"42,111,58,26","Implementation,Graph_theory,Graph_traversal,Depth_first_search",지역
205,41,Implementation,강
206,41,Implementation,모눈
207,41,Implementation,몬스터
208,"40,11","Implementation,Graph_theory",모눈종이
209,40,Implementation,큐브
210,39,Implementation,해결
211,"39,37,17","Implementation,Graph_theory,Breadth_first_search",대각선
212,38,Implementation,속도
213,"37,630,188,81,111,225","Implementation,Graph_theory,Data_structures,Greedy,Graph_traversal,Tree",도로
214,37,Implementation,알고리즘
215,"37,33","Implementation,Tree",레벨
216,36,Implementation,기차
217,"35,122,78,73,41","Implementation,Graph_theory,Graph_traversal,Breadth_first_search,Dijkstras",탈출
218,35,Implementation,성공
219,35,Implementation,109
220,"34,18","Implementation,Bruteforcing",18
221,"33,405,156,99,122,17,64","Implementation,Graph_theory,Data_structures,Graph_traversal,Tree,Breadth_first_search,Depth_first_search",그래프
222,"32,105","Implementation,Graph_theory",여행
223,31,Implementation,포인트
224,"30,53","Implementation,Graph_theory",통과
225,30,Implementation,달팽이
226,30,Implementation,유저
227,29,Implementation,톱니바퀴
228,28,Implementation,감소
229,28,Implementation,우선
230,"27,73,66,53","Implementation,Graph_theory,Graph_traversal,Breadth_first_search",장애물
231,"27,67,51,51,135,37","Implementation,Graph_theory,Data_structures,Graph_traversal,Tree,Depth_first_search",루트
232,"27,29","Implementation,Graph_theory",그리드
233,"27,167,111,101","Implementation,Graph_theory,Graph_traversal,Breadth_first_search",미로
234,"27,24,21","Implementation,Graph_theory,Graph_traversal",산책로
235,25,Implementation,공격력
236,25,Implementation,곤돌라
237,22,Implementation,28
238,22,Implementation,22
239,22,Implementation,106
240,22,Implementation,고려
241,21,Implementation,64
242,21,Implementation,서쪽
243,21,Implementation,35
244,20,Implementation,300
245,20,Implementation,105
246,19,Implementation,80
247,19,Implementation,99
248,19,Implementation,36
249,19,Implementation,필드
250,19,Implementation,총합
251,18,Implementation,전진
252,18,Implementation,빌딩
253,18,Implementation,놀이판
254,17,Implementation,커브
255,17,Implementation,상자
256,16,Implementation,룰
257,16,Implementation,사다리
258,"16,26","Implementation,Data_structures",구현
259,16,Implementation,스도쿠
260,15,Implementation,윤년
261,11,Implementation,이내
262,11,Implementation,마방진
263,10,Implementation,확산
264,941,Graph_theory,다음
265,"737,286,101,128","Graph_theory,Data_structures,Breadth_first_search,Dijkstras",연결
266,"699,170","Graph_theory,Data_structures",칸
267,"659,386,568,61,188","Graph_theory,Data_structures,Tree,Breadth_first_search,Depth_first_search",정점
268,"641,257,163,278,56,50","Graph_theory,Data_structures,Graph_traversal,Tree,Breadth_first_search,Depth_first_search",도시
269,"534,214,163,276,31,107,73","Graph_theory,Data_structures,Graph_traversal,Tree,Breadth_first_search,Depth_first_search,Dijkstras",간선
270,"305,209,213,599,144","Graph_theory,Data_structures,Graph_traversal,Tree,Depth_first_search",트리
271,"296,128,88,137,97,120","Graph_theory,Data_structures,Greedy,Graph_traversal,Breadth_first_search,Dijkstras",거리
272,"291,62,47,44","Graph_theory,Breadth_first_search,Depth_first_search,Dijkstras",모든
273,"286,94,44","Graph_theory,Breadth_first_search,Depth_first_search",시작
274,248,Graph_theory,각각
275,"244,90,32","Graph_theory,Greedy,Priority_queue",비용
276,242,Graph_theory,방
277,"224,260,132,46","Graph_theory,Data_structures,Graph_traversal,Depth_first_search",점
278,215,Graph_theory,곳
279,"214,95,69,73","Graph_theory,Graph_traversal,Breadth_first_search,Dijkstras",지점
280,"212,138,107,36","Graph_theory,Graph_traversal,Breadth_first_search,Depth_first_search",지도
281,"209,71,36,25","Graph_theory,Breadth_first_search,Depth_first_search,Divide_and_conquer",가지
282,182,Graph_theory,자신
283,"179,92","Graph_theory,Number_theory",숫자
284,"175,41,41,13,68","Graph_theory,Data_structures,Breadth_first_search,Depth_first_search,Dijkstras",출발
285,"170,68,136,265,118","Graph_theory,Data_structures,Graph_traversal,Tree,Depth_first_search",노드
286,158,Graph_theory,현재
287,"155,60","Graph_theory,Data_structures",마을
288,"153,76,77,61","Graph_theory,Data_structures,Graph_traversal,Tree",방문
289,"149,91,61,94,69,25,23","Graph_theory,Greedy,Graph_traversal,Tree,Binary_search,Depth_first_search,Priority_queue","100,000"
290,146,Graph_theory,나라
291,137,Graph_theory,선
292,"128,41","Graph_theory,Data_structures",건물
293,120,Graph_theory,교차로
294,"89,106","Graph_theory,Data_structures",나무
295,"84,52","Graph_theory,Bruteforcing",50
296,"82,30,15","Graph_theory,Greedy,Bruteforcing",1000
297,79,Graph_theory,목표
298,76,Graph_theory,동시
299,"73,58","Graph_theory,Graph_traversal",블록
300,"72,82","Graph_theory,Data_structures",선분
301,"70,23","Graph_theory,Graph_traversal",동굴
302,69,Graph_theory,장소
303,"61,20,13","Graph_theory,Data_structures,Breadth_first_search",네트워크
304,"59,21","Graph_theory,Breadth_first_search",시작점
305,58,Graph_theory,바이러스
306,"58,29","Graph_theory,Breadth_first_search",목적지
307,57,Graph_theory,사이클
308,"56,45","Graph_theory,Data_structures",국가
309,48,Graph_theory,중복
310,48,Graph_theory,개구리
311,45,Graph_theory,화살표
312,45,Graph_theory,통로
313,"45,22,21","Graph_theory,Breadth_first_search,Dijkstras",출발지
314,43,Graph_theory,입구
315,43,Graph_theory,복도
316,42,Graph_theory,링크
317,"38,19,13","Graph_theory,Data_structures,Binary_search",탐색
318,"36,12,9","Graph_theory,Data_structures,Tree",스패닝
319,35,Graph_theory,통행
320,34,Graph_theory,뿌리
321,33,Graph_theory,골목
322,32,Graph_theory,200
323,"32,24,9","Graph_theory,Graph_traversal,Binary_search",검색
324,"24,14","Graph_theory,Data_structures",무방향
325,24,Graph_theory,자판
326,24,Graph_theory,왕국
327,24,Graph_theory,자동차
328,24,Graph_theory,교차점
329,23,Graph_theory,도로망
330,22,Graph_theory,방향성
331,22,Graph_theory,수로
332,22,Graph_theory,공항
333,22,Graph_theory,연못
334,21,Graph_theory,10000
335,21,Graph_theory,오솔길
336,20,Graph_theory,호수
337,20,Graph_theory,일방통행
338,20,Graph_theory,철도
339,20,Graph_theory,미궁
340,19,Graph_theory,너비
341,19,Graph_theory,도착지
342,17,Graph_theory,통행료
343,16,Graph_theory,가로등
344,16,Graph_theory,골목길
345,15,Graph_theory,코스
346,12,Graph_theory,바둑
347,12,Graph_theory,탐험
348,2648,Data_structures,줄
349,"344,874","Data_structures,String",문자열
350,157,Data_structures,양
351,138,Data_structures,쌍
352,"136,20","Data_structures,Priority_queue",원소
353,115,Data_structures,데이터
354,"109,60,23","Data_structures,Greedy,Stack",마지막
355,101,Data_structures,형태
356,95,Data_structures,구성
357,"88,57","Data_structures,Depth_first_search",섬
358,73,Data_structures,배치
359,50,Data_structures,평면
360,44,Data_structures,수도
361,42,Data_structures,손님
362,"37,36","Data_structures,Stack",스택
363,36,Data_structures,교차
364,"34,25","Data_structures,Binary_search",오름차
365,34,Data_structures,공간
366,30,Data_structures,큐
367,29,Data_structures,인덱스
368,23,Data_structures,자료
369,"21,21","Data_structures,Stack",포인터
370,20,Data_structures,리스트
371,15,Data_structures,비트
372,12,Data_structures,두더지
373,12,Data_structures,삼각형
374,11,Data_structures,자료구조
375,11,Data_structures,주소
376,147,Greedy,이상
377,112,Greedy,이하
378,80,Greedy,정보
379,"76,115","Greedy,Bruteforcing",100
380,41,Greedy,정답
381,19,Greedy,제일
382,18,Greedy,최고
383,14,Greedy,효율적
384,14,Greedy,최종적
385,500,String,단어
386,383,String,알파벳
387,336,String,문자
388,316,String,작성
389,266,String,개수
390,262,String,소문자
391,231,String,개의
392,227,String,글자
393,221,String,이름
394,201,String,공백
395,148,String,문장
396,139,String,대문자
397,132,String,사전
398,89,String,연산자
399,78,String,영어
400,46,String,암호
401,45,String,암호화
402,44,String,팰린드롬
403,39,String,언어
404,38,String,접미사
405,31,String,평문
406,25,String,띄어쓰기
407,25,String,텍스트
408,22,String,비밀번호
409,22,String,접두사
410,16,String,채팅
411,15,String,워드
412,14,String,심볼
413,"120,33","Graph_traversal,Dijkstras",방법
414,78,Graph_traversal,처음
415,58,Graph_traversal,단위
416,541,Bruteforcing,2
417,386,Bruteforcing,3
418,103,Bruteforcing,7
419,86,Bruteforcing,8
420,44,Bruteforcing,불가능
421,43,Bruteforcing,20
422,35,Bruteforcing,15
423,33,Bruteforcing,13
424,32,Bruteforcing,"1,000"
425,23,Bruteforcing,30
426,21,Bruteforcing,11
427,18,Bruteforcing,14
428,17,Bruteforcing,500
429,17,Bruteforcing,23
430,16,Bruteforcing,21
431,15,Bruteforcing,선형
432,14,Bruteforcing,일정
433,14,Bruteforcing,32
434,14,Bruteforcing,40
435,33,Tree,직속
436,"21,13,7","Tree,Binary_search,Priority_queue","200,000"
437,"20,7","Tree,Binary_search","300,000"
438,10,Tree,"50,000"
439,"9,15","Tree,Binary_search","500,000"
440,7,Tree,200000
441,15,Binary_search,"-1,000,000,000"
442,9,Binary_search,100000
443,7,Binary_search,내림차
444,6,Binary_search,"100,000,000"
445,4,Binary_search,"-10,000,000"
446,4,Binary_search,1000000
447,"258,116,72","Number_theory,Dijkstras,Priority_queue",첫째
448,"62,51,25","Number_theory,Divide_and_conquer,Stack",둘째
449,15,Number_theory,분자
450,13,Number_theory,수학자
451,11,Number_theory,서로소
452,"158,96","Breadth_first_search,Depth_first_search",프로그램
453,85,Breadth_first_search,행
454,30,Dijkstras,총
455,32,Divide_and_conquer,수평선
456,6,Divide_and_conquer,절반
457,46,Stack,위
458,27,Stack,앞
459,20,Priority_queue,추가
460,20,Priority_queue,순위
461,8,Priority_queue,우선순위
